,current_round,current_time,current_loss
0,0,1.0649194717407227,0.6931471805599453
1,1,1.285269021987915,0.4772614522318982
2,2,1.5050861835479736,0.4432286839789242
3,3,1.724524974822998,0.4277501288827454
4,4,1.943877935409546,0.4187334343667009
5,5,2.1659581661224365,0.4125676393864136
6,6,2.386612892150879,0.4081518973878562
7,7,2.6099681854248047,0.4046619880131285
8,8,2.8331475257873535,0.4017738003554237
9,9,3.0533313751220703,0.3994663362448988
10,10,3.2749886512756348,0.3974432416061013
11,20,5.302459955215454,0.3859618664801326
12,30,7.3193440437316895,0.3803962304736786
13,40,9.32444953918457,0.3767198884034823
14,50,11.331302642822266,0.3739909942666386
15,60,13.334649324417114,0.3718908257665912
16,70,15.38546347618103,0.37016742832906335
17,80,17.427788019180298,0.36873669759601124
18,90,19.456032514572144,0.36746428706499346
19,100,21.482805252075195,0.36634442523153515
20,110,23.491628408432007,0.3653478910230888
21,120,25.500683784484863,0.3644607757188202
22,130,27.61212921142578,0.3636777970603257
23,140,29.83534002304077,0.362931264630368
24,150,32.06350660324097,0.3622412656422981
25,160,34.2527801990509,0.36161760143130134
26,170,36.443520307540894,0.36102170092363545
27,180,38.636879205703735,0.3604687488834777
28,190,40.80090522766113,0.3599599481475704
29,200,43.03026628494263,0.3594872867571792
30,250,53.817673206329346,0.3574277785059317
31,300,64.53398776054382,0.35575470809135684
32,350,75.29451656341553,0.3544009438075703
33,400,86.10361695289612,0.353247400650555
34,450,96.84969520568848,0.35225377034520394
35,500,107.61478090286255,0.3514048214937051
36,600,129.08275318145752,0.34992167495408366
37,700,150.71634817123413,0.3487210870929398
38,800,172.24522495269775,0.3477084527172073
39,900,193.76451921463013,0.34683705808411636
40,1000,215.23664569854736,0.3460792587645206
