,current_round,current_time,current_loss
0,0,1.1614930629730225,36.099210805527576
1,1,1.3923349380493164,11.579098274022758
2,2,1.6122050285339355,4.721674584125647
3,3,1.8310208320617676,2.2909969121096494
4,4,2.0442144870758057,1.402824412439245
5,5,2.2614927291870117,1.0889454497861433
6,6,2.47566294670105,0.9557424406626747
7,7,2.687241315841675,0.883456118419735
8,8,2.9001824855804443,0.8340171972909515
9,9,3.1111648082733154,0.7963380895622537
10,10,3.3271844387054443,0.7653318771650974
11,20,5.304355144500732,0.5854723248515651
12,30,7.297607898712158,0.5033084225068221
13,40,9.295380353927612,0.4561646204196773
14,50,11.279037952423096,0.42538772327310825
15,60,13.265989780426025,0.40362669546132696
16,70,15.300309419631958,0.38712593073236995
17,80,17.275439023971558,0.37429271157798566
18,90,19.240018129348755,0.36387494232470113
19,100,21.216981887817383,0.3553229302225889
20,110,23.186458587646484,0.348039028626226
21,120,25.16729712486267,0.34182014833364627
22,130,27.142250061035156,0.3364105138083422
23,140,29.147560596466064,0.3317016915987068
24,150,31.28455090522766,0.3275024413087632
25,160,33.423394203186035,0.3237568700144719
26,170,35.56063508987427,0.32038007963776194
27,180,37.69442343711853,0.3173289060781475
28,190,39.8381769657135,0.31454427714453764
29,200,41.972854137420654,0.3119987860388336
30,250,52.58988356590271,0.3019266188342051
31,300,63.184380531311035,0.2947855967559441
32,350,73.81163620948792,0.28937795142803363
33,400,84.39540243148804,0.2851534447883828
34,450,94.965735912323,0.2817013602059235
35,500,105.5870361328125,0.2788192816746995
36,600,126.8341052532196,0.2742439469234753
37,700,148.10532188415527,0.27073453030317113
38,800,169.30534720420837,0.2679229221684024
39,900,190.5318946838379,0.2656043684521969
40,1000,211.7650990486145,0.26364329274433435
