,current_round,current_time,current_loss
0,0,1.062455177307129,36.128061736762774
1,1,1.2767574787139893,5.967723072770164
2,2,1.4921596050262451,1.2758356086265434
3,3,1.717756986618042,0.7415546090773135
4,4,1.9393982887268066,0.6127077300357747
5,5,2.1586368083953857,0.5337396289711276
6,6,2.379490613937378,0.48116874473351406
7,7,2.6029858589172363,0.4434697251796952
8,8,2.824890613555908,0.41473425926927593
9,9,3.045318126678467,0.3930026060255935
10,10,3.263665199279785,0.3761157431528045
11,20,5.278165102005005,0.30322154008428226
12,30,7.283094167709351,0.28103741954388
13,40,9.285835027694702,0.2701545471142639
14,50,11.368793964385986,0.26347427608091706
15,60,13.377880334854126,0.2588837865058062
16,70,15.437982559204102,0.2553894969606074
17,80,17.55870795249939,0.252781542863425
18,90,19.619442224502563,0.2507109239052222
19,100,21.62586545944214,0.24891054833129542
20,110,23.79364848136902,0.24731632411876828
21,120,25.952014923095703,0.2462512506353829
22,130,28.12358331680298,0.24492572492034068
23,140,30.324861526489258,0.2439476684225516
24,150,32.56326460838318,0.24318692973010247
25,160,34.84474802017212,0.24229911813449181
26,170,37.1808979511261,0.2417112204156803
27,180,39.527384996414185,0.24094192879669307
28,190,41.79889988899231,0.24035698896700816
29,200,44.0816855430603,0.23992931140251111
30,250,55.126174211502075,0.23762007667696391
31,300,66.02577543258667,0.23601341356889885
32,350,76.81670784950256,0.23478462394351512
33,400,87.5613784790039,0.23368303459349102
34,450,98.31445074081421,0.23280018139172376
35,500,109.04650640487671,0.23203451106747236
36,600,130.5125994682312,0.23080648754749833
37,700,151.95622277259827,0.22986373609031557
38,800,173.38359785079956,0.22904110544179654
39,900,194.84267926216125,0.22833339075104903
40,1000,216.20520210266113,0.22772660855128402
