,current_round,current_time,current_loss
0,0,17.983089923858643,13.143025535198554
1,1,18.91923975944519,1.8658872476936839
2,2,19.821444034576416,1.5221612298028058
3,3,20.711628675460815,1.3127277669878241
4,4,21.632880926132202,1.1685303242088594
5,5,22.54301619529724,1.0611964410263819
6,6,23.480194091796875,0.9782728792461524
7,7,24.39134693145752,0.9111490042096445
8,8,25.31464385986328,0.8558791888860856
9,9,26.22129201889038,0.809246330697654
10,10,27.106210947036743,0.7694721664530213
11,20,35.274529218673706,0.553652824078761
12,30,47.560643434524536,0.46182390106167204
13,40,66.460533618927,0.4092755549059013
14,50,85.57728552818298,0.374509694762887
15,60,104.37534689903259,0.3493385754343164
16,70,123.02218866348267,0.3299881223439318
17,80,141.64580607414246,0.3144831980777425
18,90,160.344571352005,0.30171889693166176
19,100,179.04253005981445,0.2909169289352217
20,110,197.72196626663208,0.2815950415654342
21,120,216.68965339660645,0.27344078741324845
22,130,235.55548667907715,0.26624366246809034
23,140,254.1107759475708,0.25981517976921564
24,150,272.59132266044617,0.2540230994284872
25,160,291.168301820755,0.24877644399503498
26,170,310.05440044403076,0.243969094368662
27,180,328.6036322116852,0.23953242849837145
28,190,347.1431214809418,0.2354352132030917
29,200,365.7792272567749,0.2316269027518193
30,250,458.2285315990448,0.21600520948844504
31,300,550.8590250015259,0.20423264967379118
32,350,643.0925092697144,0.19490500998026766
33,400,736.803822517395,0.18723705243210612
34,450,830.1093337535858,0.18078779763502828
35,500,922.8308222293854,0.17523556025892995
36,600,1108.303508758545,0.16611890597548695
37,700,1294.219430923462,0.1588497984903697
38,800,1479.3194222450256,0.15285781242313776
39,900,1664.6963300704956,0.14780829990023128
40,1000,1849.9996197223663,0.1434659037288991
