,current_round,current_time,current_loss
0,0,1.0745453834533691,0.6931471805599453
1,1,1.3005409240722656,0.5766401765387488
2,2,1.5267348289489746,0.5263364758306962
3,3,1.7536559104919434,0.49718344297590367
4,4,1.9795591831207275,0.4782222794751122
5,5,2.2091031074523926,0.46474205387549
6,6,2.438180685043335,0.4546174408067174
7,7,2.6671149730682373,0.44650852668586866
8,8,2.892960786819458,0.43996233003235896
9,9,3.1183173656463623,0.4345120985100339
10,10,3.343395471572876,0.4300110211003418
11,20,5.436399221420288,0.406397141647091
12,30,7.496144771575928,0.3964104707886053
13,40,9.558084726333618,0.390508580318509
14,50,11.614630222320557,0.38637658613399345
15,60,13.674206256866455,0.38327910325542613
16,70,15.736796140670776,0.38072556577537353
17,80,17.79510498046875,0.37868039278243015
18,90,19.84473419189453,0.37685939234973964
19,100,21.90517807006836,0.3752798404085191
20,110,24.000600814819336,0.3739219372387618
21,120,26.18849015235901,0.37270662469160987
22,130,28.33518385887146,0.37159081690190676
23,140,30.49691128730774,0.3706176749876873
24,150,32.722010135650635,0.36967786084087484
25,160,34.925626277923584,0.3688383225379335
26,170,37.131067991256714,0.36805060910443466
27,180,39.36826252937317,0.36732914368984315
28,190,41.58160042762756,0.3666641858536405
29,200,43.81076765060425,0.3659917333705815
30,250,54.986433267593384,0.3632868341099939
31,300,65.97811126708984,0.3611593577848753
32,350,76.99369668960571,0.3594453141327545
33,400,88.05059695243835,0.3579794423623257
34,450,99.05226635932922,0.3567208701954989
35,500,110.11895608901978,0.35563194890492844
36,600,132.16622400283813,0.3538157242833372
37,700,154.25151348114014,0.35227908233475513
38,800,176.6873037815094,0.35102067263931946
39,900,199.09932565689087,0.34994682118742776
40,1000,221.48587799072266,0.34899761941778085
