,current_round,current_time,current_loss
0,0,17.852471590042114,0.6931471805599452
1,1,18.878307819366455,0.5576079659781252
2,2,19.843764305114746,0.490967152704701
3,3,20.81114101409912,0.44923210140754444
4,4,21.752899408340454,0.4196376896085225
5,5,22.70305109024048,0.39724018767754465
6,6,23.60263991355896,0.37947867010912895
7,7,24.531764030456543,0.36490125972468096
8,8,25.464391708374023,0.3526514099680343
9,9,26.38725972175598,0.3421763685716834
10,10,27.31614089012146,0.3330446297204177
11,20,35.8902428150177,0.2794348708582091
12,30,44.370094537734985,0.25312909424547725
13,40,52.630356788635254,0.23653694658844404
14,50,60.9397828578949,0.22475137787425215
15,60,69.25776386260986,0.21577857632240127
16,70,77.54569816589355,0.20862613952380243
17,80,85.84425616264343,0.2027322885822696
18,90,94.16023135185242,0.19774946044295863
19,100,102.42005658149719,0.1934606027795877
20,110,110.66588521003723,0.18971195281800904
21,120,118.93942451477051,0.18639035972537107
22,130,127.25193691253662,0.18342051714355667
23,140,135.54014801979065,0.1807331348896962
24,150,143.8198857307434,0.17829625273950722
25,160,152.18349146842957,0.17606025300418596
26,170,160.58029198646545,0.17400430405173103
27,180,168.94155144691467,0.17210046624528172
28,190,177.29219484329224,0.1703345533434755
29,200,185.67504167556763,0.16868611830785468
30,250,226.9680278301239,0.1618195624327129
31,300,269.7830698490143,0.1565491816123581
32,350,310.9411849975586,0.15231967893324327
33,400,351.84423637390137,0.14881357379354154
34,450,392.8287959098816,0.1458324991716091
35,500,433.8536901473999,0.14325190028726514
36,600,515.1693072319031,0.13896565466596503
37,700,596.4813420772552,0.1355107795829027
38,800,677.9499728679657,0.13263495435992176
39,900,759.650897026062,0.13018512260335366
40,1000,841.145345211029,0.12806001308571893
