,current_round,current_time,current_loss
0,0,1.1004083156585693,0.6931471805599453
1,1,1.3398516178131104,0.5805667825182643
2,2,1.5712826251983643,0.5315129155921664
3,3,1.7967619895935059,0.5023817660634927
4,4,2.021594285964966,0.4828576104840891
5,5,2.2460238933563232,0.46903034548515643
6,6,2.4693901538848877,0.4588016212141398
7,7,2.6963205337524414,0.4506797902229494
8,8,2.924600839614868,0.44359097128393166
9,9,3.1531927585601807,0.4387359959593962
10,10,3.374757766723633,0.43322115063544436
11,20,5.41616415977478,0.40845401046705887
12,30,7.45074987411499,0.3979293337073791
13,40,9.487441301345825,0.3931922858243547
14,50,11.533287525177002,0.3873122696502192
15,60,13.579572439193726,0.3841180933774063
16,70,15.628120422363281,0.38162890950632133
17,80,17.659884691238403,0.37973949672439666
18,90,19.687621355056763,0.37732167994431953
19,100,21.721083879470825,0.37570837955647046
20,110,23.75756525993347,0.37432757884995993
21,120,25.79295802116394,0.37293903239713205
22,130,27.834076404571533,0.371796974553993
23,140,29.967729330062866,0.37074055067026296
24,150,32.16569709777832,0.3697670402830078
25,160,34.35436224937439,0.36886398278300325
26,170,36.5398645401001,0.3682912627706805
27,180,38.75073456764221,0.3674198632169441
28,190,40.9546160697937,0.36684637340639464
29,200,43.16119337081909,0.36591918593486866
30,250,54.06958317756653,0.3630421405220101
31,300,64.95747113227844,0.36096005205319276
32,350,75.84860682487488,0.3591959129529703
33,400,86.76837396621704,0.35748918601827245
34,450,97.6804838180542,0.3563456150596322
35,500,108.58429408073425,0.3549685084825422
36,600,130.37297987937927,0.35303596549316685
37,700,152.16246700286865,0.35161754178996396
38,800,173.99651432037354,0.3501560447755604
39,900,195.83877420425415,0.34906715393416426
40,1000,217.62700271606445,0.34803436890954076
