,current_round,current_time,current_loss
0,0,18.038317441940308,0.6931471805599452
1,1,18.924627780914307,0.5679910956879585
2,2,19.87085747718811,0.5032954486661848
3,3,20.726481676101685,0.46185654402509835
4,4,21.611507654190063,0.4323658928751073
5,5,22.46322989463806,0.4098570926984342
6,6,23.373891830444336,0.3916812154413447
7,7,24.247011184692383,0.3767368806197399
8,8,25.116286039352417,0.3660863746937558
9,9,26.002620935440063,0.3534777717787682
10,10,26.901667833328247,0.3442358952736974
11,20,34.968886375427246,0.2886777201291625
12,30,42.873281478881836,0.2612479156382896
13,40,50.702112436294556,0.2438932849879311
14,50,58.49872446060181,0.23176517918477013
15,60,66.39120626449585,0.22215024926825652
16,70,74.1609902381897,0.2146475591124536
17,80,82.04191660881042,0.20847279722489764
18,90,89.8251781463623,0.20325339278261068
19,100,97.60734987258911,0.1987360707326299
20,110,105.39854192733765,0.19481695918126765
21,120,113.07847309112549,0.19152257590476013
22,130,120.74507689476013,0.18821624254633187
23,140,128.44357419013977,0.1854176332180959
24,150,136.13630628585815,0.18281305551965424
25,160,143.7664668560028,0.18048487552309606
26,170,151.4893045425415,0.17862588968800383
27,180,159.23248863220215,0.1766007216128809
28,190,166.85871171951294,0.17460712020740307
29,200,174.48087191581726,0.1729173616278392
30,250,212.85871124267578,0.1656819437801666
31,300,251.09171223640442,0.16018928386620473
32,350,289.3247411251068,0.15556774247947128
33,400,327.794145822525,0.1518415432213184
34,450,366.3905427455902,0.14866836964978766
35,500,404.77009630203247,0.14595676674164632
36,600,480.6580317020416,0.14152798003772252
37,700,555.944305896759,0.1378126902808328
38,800,631.3279061317444,0.1348514207057381
39,900,707.1514356136322,0.13222126715531599
40,1000,782.652458190918,0.1299942099705287
