,current_round,current_time,current_loss
0,0,1.1365201473236084,0.6931471805599453
1,1,1.4026687145233154,0.476619004356419
2,2,1.6727283000946045,0.4426356557271335
3,3,1.9365835189819336,0.42625304008383924
4,4,2.1959543228149414,0.4167956825916719
5,5,2.44797420501709,0.4112625939389847
6,6,2.704648494720459,0.40688332111216874
7,7,2.967824935913086,0.4034918079705994
8,8,3.2322428226470947,0.40076624929087745
9,9,3.4911434650421143,0.39843993070010353
10,10,3.7484641075134277,0.3964136438926675
11,20,6.186047554016113,0.38513994343177554
12,30,8.608309745788574,0.3795646312680035
13,40,11.014280319213867,0.3759236911172294
14,50,13.427093982696533,0.37323969682514224
15,60,15.832556247711182,0.37111612037988834
16,70,18.259283542633057,0.36937028909774905
17,80,20.668522357940674,0.36787421325282244
18,90,23.079948663711548,0.36661245108000523
19,100,25.498302221298218,0.36548049410030986
20,110,27.901282787322998,0.364487041099394
21,120,30.307197332382202,0.3635966064384138
22,130,32.87885880470276,0.36278471301982584
23,140,35.45750641822815,0.3620299995026004
24,150,38.040366649627686,0.3613502771368199
25,160,40.60905599594116,0.36070867007708957
26,170,43.18450880050659,0.3601184643035501
27,180,45.889829874038696,0.35956718511478786
28,190,48.54961061477661,0.35903635222295815
29,200,51.13157653808594,0.3585591074514573
30,250,63.992368936538696,0.35646722068229986
31,300,76.8445417881012,0.3547969387832483
32,350,89.6247878074646,0.3534333130350022
33,400,102.41564273834229,0.3522782503553909
34,450,115.29171085357666,0.35127909910691874
35,500,128.17908382415771,0.3503988930947431
36,600,154.0012662410736,0.3489200968706695
37,700,179.92974710464478,0.3477095051022261
38,800,205.6240417957306,0.34669115609398277
39,900,233.40447545051575,0.3458080911066058
40,1000,259.04525542259216,0.3450419542307813
